Curve Name,Curve Length (um),Average Curvature (um-1),Curvature Std (um-1),X-Coordinate (um),Y-Coordinate (um),Point Curvature (um-1),Point Curvature Sign,Red Intensity,Green Intensity,Blue Intensity,,radius in nm,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022136348,0.154983436,86.60844763,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022147904,0.155002918,85.53437633,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022159513,0.155022405,84.46333576,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022171175,0.155041897,83.39544406,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022182892,0.155061394,82.33081674,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022194661,0.155080897,81.26956649,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022206484,0.155100406,80.21180135,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022218359,0.155119922,79.15762809,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022230288,0.155139444,78.10714923,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022242268,0.155158974,77.06046434,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022254301,0.155178512,76.01767053,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022266386,0.155198057,74.97886231,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022278522,0.15521761,73.94412984,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02229071,0.155237173,72.91356203,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02230295,0.155256744,71.8872439,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02231524,0.155276324,70.86525771,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022327582,0.155295915,69.84768346,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022339974,0.155315515,68.83459884,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022352417,0.155335126,67.82607728,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.02236491,0.155354748,66.82219138,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022377453,0.155374381,65.82301001,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022390046,0.155394025,64.82859949,1,91,91,91,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022402689,0.155413681,63.83902416,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022415381,0.15543335,62.85434624,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022428122,0.155453031,61.87462413,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022440912,0.155472725,60.8999154,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022453751,0.155492432,59.93027424,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022466639,0.155512153,58.96575258,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022479575,0.155531888,58.00640064,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022492559,0.155551637,57.05226671,1,111,111,111,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022505591,0.155571401,56.10339543,1,90,90,90,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022518671,0.15559118,55.15983109,1,90,90,90,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022531798,0.155610975,54.22161468,1,90,90,90,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022544972,0.155630785,53.28878526,1,90,90,90,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022558194,0.155650612,52.36138034,1,90,90,90,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022571462,0.155670455,51.43943584,1,90,90,90,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022584777,0.155690315,50.52298435,1,90,90,90,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022598139,0.155710192,49.61205814,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022611546,0.155730087,48.70668661,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022625,0.15575,47.80689741,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022638499,0.155769931,47.16098725,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022652044,0.15578988,46.52315786,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022665634,0.155809847,45.89325562,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022679268,0.155829832,45.27113006,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022692946,0.155849834,44.65663272,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022706668,0.155869853,44.04961897,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022720433,0.155889889,43.4499462,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022734241,0.155909943,42.85747461,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022748091,0.155930012,42.2720671,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022761983,0.155950099,41.69358955,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022775916,0.155970201,41.1219093,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022789891,0.155990319,40.55689726,1,106,106,106,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022803906,0.156010453,39.99842588,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022817962,0.156030603,39.4463702,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022832057,0.156050767,38.90060762,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022846191,0.156070947,38.36101804,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022860365,0.156091142,37.82748266,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022874577,0.156111351,37.29988579,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022888827,0.156131575,36.77811315,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022903114,0.156151814,36.26205256,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022917439,0.156172066,35.75159395,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022931801,0.156192332,35.24662956,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022946199,0.156212611,34.74705252,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022960632,0.156232904,34.25275891,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022975102,0.15625321,33.76364578,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.022989606,0.156273529,33.27961219,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023004145,0.156293861,32.80055901,1,112,112,112,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023018718,0.156314205,32.32638906,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023033325,0.156334562,31.85700593,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023047965,0.15635493,31.39231579,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023062638,0.156375311,30.93222572,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023077344,0.156395703,30.4766444,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023092081,0.156416107,30.02548213,1,115,115,115,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023106851,0.156436522,29.57865103,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023121651,0.156456948,29.13606367,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023136482,0.156477384,28.69763509,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023151344,0.156497831,28.26328086,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023166235,0.156518289,27.83291811,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023181156,0.156538757,27.40646538,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023196106,0.156559235,26.98384271,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023211084,0.156579722,26.56497051,1,121,121,121,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023226091,0.156600219,26.14977138,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023241126,0.156620725,25.73816842,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023256187,0.156641241,25.33008594,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023271276,0.156661765,24.92544952,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023286391,0.156682298,24.52418615,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023301532,0.156702839,24.12622294,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023316699,0.156723389,23.7314891,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023331891,0.156743946,23.33991401,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023347108,0.156764512,22.9514283,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023362349,0.156785085,22.56596366,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023377614,0.156805665,22.18345293,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023392902,0.156826252,21.80382904,1,108,108,108,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023408214,0.156846847,21.42702675,1,103,103,103,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023423548,0.156867448,21.05298104,1,103,103,103,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023438904,0.156888055,20.6816278,1,103,103,103,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023454282,0.156908669,20.31290385,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023469681,0.156929289,19.94674719,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023485101,0.156949915,19.5830956,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023500542,0.156970547,19.2218887,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023516002,0.156991184,18.86306602,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023531483,0.157011826,18.50656802,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023546982,0.157032473,18.152336,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.0235625,0.157053125,17.80031212,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023578036,0.157073782,17.45043838,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023593591,0.157094442,17.10265836,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023609162,0.157115108,16.7569156,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023624751,0.157135777,16.41315431,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023640357,0.157156449,16.07131945,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023655978,0.157177125,15.73135674,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023671615,0.157197805,15.39321165,1,116,116,116,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023687268,0.157218488,15.05683116,1,133,133,133,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023702936,0.157239173,14.72216195,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023718617,0.157259861,14.38915141,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023734313,0.157280552,14.05774757,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023750023,0.157301244,13.72789898,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023765746,0.157321939,13.39955402,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023781481,0.157342636,13.07266228,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023797229,0.157363334,12.74717318,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023812988,0.157384033,12.42303657,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023828759,0.157404734,12.10020282,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023844541,0.157425435,11.77862293,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023860334,0.157446138,11.4582474,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023876137,0.15746684,11.13902806,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023891949,0.157487543,10.82091624,1,118,118,118,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023907771,0.157508247,10.5038638,1,113,113,113,,10.42088902,,,,
CURVE 1,0.164809199,95.96110252,128.1603138,0.023923602,0.157528949,10.18782302,1,113,113,113,,10.42088902,,,,
