"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17957138674259182","0.259785249209404","17.21397964317546","1","118.0","118.0","118.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17959277362823484","0.25977673854827876","18.359225092915363","1","118.0","118.0","118.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17961416079998016","0.2597682173013687","19.502151563444208","1","118.0","118.0","118.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17963554840087886","0.25975968475341793","20.64257991950771","1","118.0","118.0","118.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1796569365739822","0.2597511401891708","21.780331025121782","1","118.0","118.0","118.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1796783254623413","0.25974258289337154","22.915225552594876","1","118.0","118.0","118.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17969971520900724","0.2597340121507644","24.047085592908523","1","118.0","118.0","118.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17972110595703122","0.2597254272460937","25.17573223638412","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1797424978494644","0.2597168274641037","26.300987819609258","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17976389102935786","0.25970821208953854","27.422674752152876","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17978528563976284","0.2596995804071426","28.540615819094295","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17980668182373044","0.25969093170166013","29.65463391491675","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17982807972431178","0.2596822652578354","30.764553232822067","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17984947948455807","0.25967358036041255","31.87019760187818","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17987088124752043","0.25966487629413604","32.97139180027893","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17989228515624997","0.25965615234375","34.06796132507568","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.1799136913537979","0.2596474077939987","35.15973207590576","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17993509998321533","0.25963864192962643","36.24653015903974","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17995651118755338","0.25962985403537747","37.32818350873009","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17997792510986324","0.25962104339599607","38.404519493875185","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.17999934189319608","0.25961220929622647","39.475367139543415","1","122.0","122.0","122.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.180020761680603","0.25960335102081294","40.540556017419284","1","128.0","128.0","128.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.18004218461513516","0.25959446785449974","41.59991647991765","1","128.0","128.0","128.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.18006361083984374","0.25958555908203124","42.65327948009121","1","128.0","128.0","128.0"
"CURVE 3","0.20718619840120184","61.563409991085884","59.746142309155594","0.18008504049777982","0.2595766239881515","43.70047771073329","1","128.0","128.0","128.0"
